,price,name,location,zip_code,beds,baths,size,units,phone,image_url,property_url,latitude,longitude,description,amenity,data_source
0,1625,Albion at Morrow Park,"5250 Liberty Ave, Pittsburgh, PA, 15224",15224,,,,,(412) 668-5089,https://photos.zillowstatic.com/fp/c12410f65edeb3a8a1389b691e64a143-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/albion-at-morrow-park/65YXrk/,40.456729,-79.940702,"Located in the historic Bloomfield and Shadyside communities, Albion at Morrow Park is an exciting addition to Pittsburgh apartment living. This luxury 213-unit community is new to an area that hasn't experienced a residential building of its scale in generations. Its lavish amenities are sure to please every resident including 24-hour fitness center, clubroom with fireplace and gourmet kitchen, indoor/outdoor heated pool and hot tub, a courtyard with movie theater and fire pit, pet park and pet amenities, and an underground, climate-controlled garage with bike storage. Albion at Morrow Park offers residents 40+ unique floor plans to choose from, including nano and penthouse options and four finish packages. Apartments feature hardwood flooring, cozy electric fireplaces, 36-inch soaking tubs, Whirlpool stackable washers and dryers, and oversized floor-to-ceiling windows. The property is conveniently located along PAT lines and within minutes of downtown Pittsburgh. Walk Score: 92%","24-Hour Emergency Maintenance,9- to 15-Foot Ceiling Heights,Boutique Hotel-Style Lobby,Built-in Wine Rack,Carpeted Bedrooms,Common Area Wi-Fi Access,Concierge Services,Courtyard with Movie Theatre and Fire Pit,Den or Home Office Space*,Dining Room,Easy Access to Public Transportation,Electric Fireplaces,Electric Vehicle Charging Stations,Energy Efficient, Electric Appliances,Gooseneck Kitchen Faucet,Granite Countertops,Kitchen Islands,Linen Closet Storage,Located Along PAT Lines,Loft Layout*,On-Site Self-Serve Car Wash,Oversized Floor-to-Ceiling Windows,Pantry Storage,Pet-Friendly Community,Planned Social Activities for Residents,Preferred Employer Program,Renters Insurance Program,Soaking Tubs,Stars & Stripes Military Rewards Program,Underground, Climate Controlled Assigned Parking,Various Lease Term Options,Wood-Style Flooring",Zillow
1,1455,The Washington at Chatham,"112 Washington Pl, Pittsburgh, PA, 15219",15219,,,,,(814) 845-4391,https://photos.zillowstatic.com/fp/49091d867ad34ded4a9b6c98106585e5-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-washington-at-chatham/CgLqrx/,40.439652,-79.992138,"Immerse yourself in a vibrant urban lifestyle at The Washington at Chatham. With an unbeatable location in the heart of the Steel City and spacious floor plans with stunning views, you'll instantly feel right at home. The apartment community features studio, one and two bedroom layouts designed to provide you with space, comfort and tons of natural light. And let's not forget about the granite countertops, luxury finishes and top-of-the-line features like electronic blinds and whirlpool tubs. Beyond your own door, enjoy the fitness center, yoga studio and community spaces. And guess what? You don't need to venture far for your caffeine fix because there's a Starbucks conveniently located right in the building! Plus, our round the clock service and the staff's commitment to all residents is the cherry on top!","9ft High Ceilings,Availability 24 Hours,Carpeting in Bedrooms,Electronic Blinds,Electronic Thermostat,Free Weights,Granite Countertops,Transportation,Whirlpool tub & state of the art shower,Garage,Off Street Parking,Recreation Room,Short Term Lease",Zillow
2,1504,Cosmopolitan Apartments,"3001 McKnight East Dr, Pittsburgh, PA, 15237",15237,,,,,(412) 561-9131,https://photos.zillowstatic.com/fp/bdb57cdc4d8b2afc5da7baccd9c18f54-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/cosmopolitan-apartments/B6jmk8/,40.537743,-80.007194,"Welcome to the Cosmopolitan Apartments! Our brand new apartment community offers modern living at it's finest in a location that is equally as impressive.

Treat yourself to convenient, upscale living in an apartment community like no other at the Cosmopolitan Apartments in Ross Township, just outside Pittsburgh, PA. Large open floor plans with one and two-bedroom options are the perfect complement to your modern lifestyle. Gourmet kitchens complete with quartz countertops, a full range of stainless steel appliances, and a breakfast bar brighten your day, while the private patio or balcony creates a unique outdoor space all your own.

Our new community is located in the charming North Hills neighborhood, close to I-279 for a quick commute to downtown Pittsburgh. We are also situated in the highly rated North Hills School District. As a resident, you will enjoy a luxury package of community amenities full of health-boosting and high-tech benefits to enhance your lifestyle. De-stress with a great read on our rooftop terrace and sundeck. The fitness center is stocked with free weights and cardio machines, and is open 24 hours a day so you can always find the right time for a workout.

No matter what lifestyle you enjoy, you'll love our beautiful, pet friendly living spaces at Cosmopolitan, an apartment community like no other. Once you've browsed through our photo gallery and seen what we have to offer, give us a call to schedule a tour or go ahead and apply online today. We can't wait to welcome you to your new home!","Fire Pit with Ample Seating for Guests,Flex Rent Payments,Loyalty Reward Program,North Hill Sec. of Pittsburgh,Online payments and service requests,Storage Spaces Available,Trash Chute Located Every Flr,Valet Dry Cleaning,Top Floor,Garage,Sundeck",Zillow
3,1750,The Julian,"419 Melwood Ave, Pittsburgh, PA, 15213",15213,,,,,(724) 278-8490,https://photos.zillowstatic.com/fp/de02825d45a630d1b749c2afac724c67-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-julian/98Nmbn/,40.454617,-79.952738,"Welcome to Pittsburgh's newest Hudson signature property, The Julian offering residents an impeccable standard of service with every detail. Nestled in the vibrant heart of North Oakland, The Julian offers unparalleled access to the culinary delights, renowned museums, and iconic attractions of Pittsburgh. Choose from spacious studio, one-, and two-bedroom floor plans, each meticulously designed to provide comfort and style. Enjoy an array of exciting amenities, from a state-of-the-art fitness and yoga studio to a serene sky lounge, ensuring that every moment spent here is nothing short of extraordinary.","EV Charging Stations,Outdoor Kitchen,Outdoor Terraces,Pet Friendly,Resident Social Events,Yoga Studio,Quartz Countertops,Stainless Steel Appliances,Window Shades",Zillow
4,1525,1709 Fifth,"1709 5th Ave, Pittsburgh, PA, 15219",15219,,,,,(412) 424-6473,https://photos.zillowstatic.com/fp/30780ab71a34413cc83997fe4c215944-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/1709-fifth/BFzw8h/,40.438613,-79.982147,"Say hello to 1709 Fifth and its design driven details and timeless architecture. Now open, this brand new 51-unit boutique property with studio, 1 & 2BR options perfectly compliments your urban lifestyle. Add to the perk of the property Redhawk Coffee + Market, located on the ground floor, is open daily for your morning iced coffee on the way out the door or a quick grab-and-go salad for lunch. 

Be one of the first to call your stunning pet-friendly unit home featuring Whirlpool stainless appliances, kitchen islands, custom lighting, oversized windows with blinds, in-unit washer & dryers, tiled baths, private terraces with sweeping city views, covered parking and more. As a member of the PGH 2030 district, eco-friendly finishes are at the forefront of the building including efficient heating/cool systems (read: low electric bills!), a living roof, bike storage and a location along Pittsburgh's first bus rapid transit system which will shuttle our residents to Downtown and Oakland/Universities in under five minutes. Ready to upgrade to Uptown?","Balcony,Balcony/Terrace,Corner unit,Kitchen islands,Linen closets,South facing,Terrace,Walk-in Closet,market/cafe onsite,penthouse level,pet friendly,transit adjacent",Zillow
5,1525,St. Clair Woods Apartments,"1000 Painters Dr, Pittsburgh, PA, 15241",15241,,,,,(724) 538-7897,https://photos.zillowstatic.com/fp/697fca69c9bf2318d272f7b47a1ce87e-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/st.-clair-woods-apartments/BdcNjp/,40.361996,-80.068581,"Welcome to St. Clair Woods Apartments in Upper St Clair, PA! Our community offers the perfect blend of convenience and outdoor amenities. Each apartment comes with one garage space for your vehicle. Enjoy spending time outdoors at our playground, dog park, picnic pavilion, grilling areas, and firepit. Whether you're looking to relax or stay active, St. Clair Woods Apartments has something for everyone. Just minutes away from downtown Pittsburgh, I-79, shopping, dining, and entertainment. Attentive on-site management and maintenance. Secured building access with intercom. 
com/518759450

Schedule a tour today and experience the comfort and convenience of our community.","Firepit,Picnic Pavilion,RangeOven,Recycling,Garage",Zillow
6,1317,Kaufmanns,"434 5th Ave, Pittsburgh, PA, 15219",15219,,,,,(724) 598-9639,https://photos.zillowstatic.com/fp/b565b884585d40ceacb189ac1f643fd2-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/kaufmanns/B75ZTC/,40.439725,-79.997997,"Kaufmann's offers the most stylish and historic living in the heart of downtown Pittsburgh. Located in the iconic Kaufmann building, our building mixes the beauties of the past with the luxuries of today. Studio, one and two-bedroom apartments are beautifully appointed with contemporary finishes and features including over-sized windows, open kitchens and stainless steel appliances. Amongst the sought-after central locale, this re-development under the clock offers convenient access to all the best entertainment and nightlife in the heart of downtown Pittsburgh.","Availability 24 Hours,BBQ/Picnic Area,Concierge,Free Weights,Fully-integrated resident app,Golf Simulator,Group Excercise,Historic Building,Housekeeping,Large Closets,Media Room,Movie Room,Music Room,On-Site TARGET Store,Open Concept Floorplans,Oversized Windows + High Ceilings,Podcast Room,Recessed Lighting,Recycling,Stainless Steel Appliances,Window Coverings,Work Pods - Private Office / Conference Rooms,Garage,Recreation Room",Zillow
7,1275,The Commonwealth Building,"316 4th Ave, Pittsburgh, PA, 15222",15222,,,,,(412) 858-8260,https://photos.zillowstatic.com/fp/0139386de8ad6dfac43d40ef5c9aaaa6-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-commonwealth-building/98PLJw/,40.439057,-80.000814,Hot Metal Flats,"Chrome Moen Fixtures,Co-Working Mezzanine,Efficient Stainless Steel Appliances,High Ceilings,Large Closets,Live and On-Demand Fitness Classes,Luxury Wood Style Flooring,Mincey Marble Shower Surround with Glass Door,On-Site Restaurant/Gallery Retail Space,On-Site Tenant Storage,Transportation,USB Outlets (in living room/kitchen),Off Street Parking,Short Term Lease",Zillow
8,985,Highmont,"6200 5th Ave, Pittsburgh, PA, 15232",15232,,,,,(412) 566-8641,https://photos.zillowstatic.com/fp/5e6d12b94980800c9bb4f47048e00604-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/highmont/5Xxb4t/,40.452301,-79.922344,"Within easy walking distance to CMU, PITT and Chatham, this four-story brick building is great for those who want to be right where the action is.","24-Hour Emergency Maintenance,Gate,Nonsmoking Building,Parking,Fully Equipped Kitchens,HardwoodFloor,PetsAllowed",Zillow
9,1900,Lofts of Mount Washington,"200 Cowan St, Pittsburgh, PA, 15211",15211,,,,,(412) 927-1460,https://photos.zillowstatic.com/fp/17752af497ffbeb5421b1e07d4d47b11-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/lofts-of-mount-washington/63SR9n/,40.427944,-80.010378,"Prospect School was built during the depression (1917-1931) after the original school burned down. Designed by local architects James T. Steen and Sons, you can see the art deco styling in the schools boxy shape, intricate details and asymmetrical patters. In 2005, Prospect School closed and remained vacant until renovations on these apartments began in 2014 by developer a.m. RODRIGUEZ ASSOCIATES inc. 

Going further back in time, The Mount Washington area blossomed with the construction of the Mon Incline in 1870, which made this area easily accessible. Today, the neighborhood has grown in popularity, boasting two inclines, the Grandview Overlook, and Shiloh Street Shops. These destinations bring people from all over the city, while Mount Washington residents enjoy convenient access to dining, shopping, entertainment, and more!","CityView Terrace,Courtyard,Efficient Appliances,Electronic Thermostat,High Ceilings,Historic Building,Large Closets,Window Coverings,Off Street Parking",Zillow
10,1125,Kennilworth Apartments,"5700 Centre Ave, Pittsburgh, PA, 15206",15206,,,,,(412) 274-7238,https://photos.zillowstatic.com/fp/afa49df19375c74aa60cdd998c58bef1-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/kennilworth-apartments/5hJB3z/,40.457024,-79.933448,"Kennilworth Apartments are conveniently located at the heart of it all! Shadyside, East Liberty, Oakland, Squirrel Hill are close by, as well as surrounding hospitals, universities, restaurants and shopping. Residents will benefit from the restaurant that is on premises as well as two grocery stores, a drug store, and more all within walking distance.

The Kennilworth offers convenient living at a convenient price!","Upgraded Units Available,Garage",Zillow
11,950,Crane Village Apartments,"651 Oaklynn Ct, Pittsburgh, PA, 15220",15220,,,,,(412) 453-8517,https://photos.zillowstatic.com/fp/65330ba9c32ee21596b4d5a972d90477-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/crane-village-apartments/CgGst3/,40.415141,-80.034155,"651 Oaklynn Ct, Pittsburgh, PA 15220","BBQ/Picnic Area,Breakfast Bar,Large Closets,Some Utilities Included",Zillow
12,1199,The Preserve at Heinz,"950 Progress St, Pittsburgh, PA, 15212",15212,,,,,(412) 903-9633,https://photos.zillowstatic.com/fp/e26756f86491b9d38ad72acd73469024-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-preserve-at-heinz/98Nk6B/,40.453879,-79.992131,"With a historic building and modern interior construction, The Preserve at Heinz offers a seamless blend of old-school charm and all the modern comforts you desire. Our refined apartment homes offer designer interior finishes, high ceilings, plenty of natural light, and a contemporary design aesthetic. Our apartments feature a variety of open-layout living areas, picturesque views of downtown's skyline, high-end appliances, ample storage space, and so much more. When you live here, you know what it's like to live in style.",,Zillow
13,925,Place Seville,"957 Bockstoce Ave, Pittsburgh, PA, 15234",15234,,,,,(724) 306-6684,https://photos.zillowstatic.com/fp/815787cea2a7bd9e289e8a2e21c3d27c-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/place-seville/5jG66Y/,40.36584,-80.027669,"Welcome to Place Seville Apartments, located in the heart of Castle Shannon. We offer spacious 1 and 2 bedroom apartments at an affordable price. Place Seville is conveniently located with the Overbook Junction T stop right next to the property. We have off street parking as well as heated garage space. Every apartment at Place Seville has its own Furnace with Air Conditioning built in! Enjoy in building coin operated laundry available to all tenants. Call today to reserve your space!","Courtyard,Pets allowed,Public Transportation Access,Walk-in Closet,Garage,Off Street Parking",Zillow
