,price,name,location,zip_code,beds,baths,size,units,phone,image_url,property_url,latitude,longitude,description,amenity,data_source
14,945,Canyon Place Apartments,"3541 Laketon Rd, Pittsburgh, PA, 15235",15235,,,,,(412) 923-0256,https://photos.zillowstatic.com/fp/f0826dae5acb734864fa445faa6443b6-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/canyon-place-apartments/5fwkBB/,40.459569,-79.844766,"A Cozy 1 Bed/1 Bath APARTMENT in PENN HILLS! 

*See the virtual tour of the apartment at the bottom of this page.

APARTMENT BENEFITS:
- Located in the quaint Penn Hills area
- Conveniences are nearby: grocery stores, the pharmacy, retail stores, restaurants, and more
- Easy access to Pittsburgh and Monroeville
- Off-street parking, plus garage parking available
- Storage area
- On-site laundry (coin operated)
- Large closets
- Build your credit automatically! - Birgo reports your on-time rent payments to the credit agencies, which can raise your credit score!
- Unlike our competitors, your rent will never be raised above the market rate for your unit!
- Last (but not least) you get landlords who care!

 
*To schedule a showing, click on one of the times at the top of the page to put your showing on the calendar.
*If you're ready to apply, start our online application by clicking the ""Apply Now"" tab at the top of this page.
 
 
Note: Photos of the apartment shown in this listing may be replicas and may not be the actual apartment you're looking to lease. Please schedule a showing to see the actual apartment.","Green Space,Group Canyon,Some units have private entrances,Large Closets,RangeOven",Zillow
15,1320,Torrente Apartment Homes,"2565 Boyce Plaza Rd, Upper Saint Clair, PA, 15241",15241,,,,,(724) 302-5743,https://photos.zillowstatic.com/fp/ddff01858d33143fb8e1457f495b05b3-p_d.jpg,https://zillow.com/apartments/upper-saint-clair-pa/torrente-apartment-homes/63HfVj/,40.322508,-80.113549,"Experience the best in luxury living with breathtaking creek and woodland views offering plenty of privacy, not often found in apartment living. Our unique Upper St. Clair community and friendly management team provide you with a serene, yet energetic atmosphere that you will look forward to coming home to each day. Torrente is located in the #1 school district in Western Pennsylvania, Upper St. Clair. This historic community was founded in 1762 and has been a community rich in pride and history ever since. We offer an exceptional location within this community, thoughtfully nestled within Upper St. Clair and close to all the your everyday conveniences as South Hills Village Mall and Whole Foods. Our Residents enjoy a wide array of popular amenities, such as: on-site maintenance with no maintenance fees, on-site storage, garage and underground parking facilities, a 24-Hour Fitness Center, as well as elevators in all the buildings and so much more!","Availability 24 Hours,BILT Resident Reward Program,Bike Share,Fire Pit,High Ceilings,Large Closets,Outdoor Fitness,Putting Green,Soccer Goals,Window Coverings,Balcony,Garage,Off Street Parking,Short Term Lease",Zillow
16,695,The Wendover Community,"5562 Hobart St, Pittsburgh, PA, 15217",15217,,,,,(412) 564-1566,https://photos.zillowstatic.com/fp/d2fefe02a255546436c8fce90210278d-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-wendover-community/5XkfGQ/,40.43204,-79.928715,"Step inside the Wendover Apartments, where history meets elegance. This striking six-story building, constructed in 1928 as part of Mr. John McSorley's series, showcases the enduring beauty of Gothic architecture with its white terra cotta and brick exterior. As you approach from Hobart Street, a serene landscaped courtyard welcomes you, providing a peaceful oasis right at your doorstep. Wendover Apartments also offer a unique feature: an interconnected two-story garage, allowing residents easy access to their vehicles without leaving the building. The garage also connects to both the Addition and the Annex. The Addition was added shortly after the high-rise was completed, and the Annex was meticulously constructed and finished in the 1940s. Both structures are situated at the rear side of the high-rise along Covode Street. Explore the rich history and character of Wendover Apartments, where every corner holds a story waiting to be discovered.","24-Hour Emergency Maintenance,Gate,Nonsmoking Building,Parking,Fully Equipped Kitchens,Large Closets,PetsAllowed",Zillow
17,1050,Emerald Gardens,"2400 Village Rd, Pittsburgh, PA, 15205",15205,,,,,(412) 376-4163,https://photos.zillowstatic.com/fp/f909620be89ae806dafc82e6cd173d37-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/emerald-gardens/5ZJQhx/,40.449017,-80.076611,"Welcome Home to Emerald Gardens

Where Luxury and Affordability Meet. Located on 48 lush, wooded acres, you'll be surrounded by the natural beauty and serenity of country living together with the ease of city living. Close to downtown, 376, 79, Robinson and more! We are a gated community with a 24-hour fitness center, 24-hour tanning bed, picnic pavilion with charcoal grills, dog park, dog spa, and onsite security. All our townhomes have central air and forced air heat. We are centrally located along a bus route, just minutes from fine dining, shopping and recreation.","Off Street Parking,Street Parking",Zillow
18,2250,Shadyside Commons,"401 Amberson Ave, Pittsburgh, PA, 15232",15232,,,,,(412) 385-4256,https://photos.zillowstatic.com/fp/2585e97e00d3c1f65ecd8550a3218a20-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/shadyside-commons/5XqzCk/,40.453071,-79.941063,"Shadyside Commons offers newly renovated 1- and 2- bedroom apartments that combine a contemporary living space with a peaceful environment in the coveted Shadyside neighborhood of Pittsburgh.  Built in 1903, the building was constructed as a hardware store for Pittsburgh businessman John Bindle and, over a century later, the 4-story brick building still flaunts its unusually sharp style and quality details. Large brick arches, handsome cornices and oversized industrial windows couple with proximity to downtown Pittsburgh to create your perfect luxury residence. Apartments include modern kitchens and baths, ample closet space with adjustable shelving and custom storage, and in-suite washers & dryers.  Located near the University of Pittsburgh, UPMC-Shadyside, and Carnegie Mellon, Shadyside Commons offers easy access to the city's parks, shopping, and restaurants, in the vibrant, yet cozy residential neighborhood of Shadyside.","Availability 24 Hours,Courtyard,Free Weights,High Ceilings,Historic Building,Large Closets,Recycling,Transportation,Window Coverings",Zillow
19,825,Laurel Gardens,"1645 Ardmore Blvd, Wilkinsburg, PA, 15221",15221,,,,,(412) 444-7482,https://photos.zillowstatic.com/fp/1bac892d9301c9bb843b6e5ec6fe1c52-p_d.jpg,https://zillow.com/apartments/wilkinsburg-pa/laurel-gardens/5Xxqnv/,40.427457,-79.862763,"WELCOME HOME!! You'll LOVE Laurel Gardens!!

Come check out our new renovations! From studios to 2 bedrooms, we've got the layout for you. Our updated kitchens, new flooring and spacious bedrooms are just SOME of the reasons why you should choose Laurel. 

Laurel Gardens is central to the city and shopping in Monroeville. 15 minutes in either direction will put you exactly where you want to be! 

Favorite Features:
*24 Hour Emergency Maintenance Service!
*Updated kitchens!
*Central Air!
*Beautiful plush carpets throughout!
*Spacious! Separate living room, and large bedrooms!
*Ample closet space throughout the home!
*Utility room for washer and dryer hookups/extra storage room!
*Cat friendly! (fees and restrictions apply)

Call today for more info and to set up your tour!",,Zillow
20,1305,Club at North Hills Apartment Homes,"700 Duncan Ave, Pittsburgh, PA, 15237",15237,,,,,(724) 286-4384,https://photos.zillowstatic.com/fp/2999b1e818b94c591e9523564861605d-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/club-at-north-hills-apartment-homes/5yFX8T/,40.567722,-80.018204,"The Club at North Hills provides the perfect scenario for convenient and carefree living. From our meticulous landscaping to the spacious, custom-designed one- and two-bedroom floor plans, all with washer & dryer and central air conditioning, The Club at North Hills will exceed your expectations. You'll enjoy your own private patio or balcony and a well-appointed kitchen. Plus, we are pet friendly, so bring your dog or cat! Outdoors, take advantage of our tennis and basketball courts and relaxing pool. Centrally located, we are just minutes from fine dining, entertainment, and shopping areas. Enjoy the comforts of home at The Club at North Hills.","Amazon Hub,Availability 24 Hours,Bike Share,Breakfast Bar,Built-in Shelves,Dining Rooms Available,Electric Vehicle Charging Stations,Kitchen Pantry,Large Closets,McCandless Crossings is Just Next Door,Outdoor Fitness,Pet Friendly,Programmable Thermostat,Putting Green,Soccer Goals,Vaulted Ceilings in Select Homes,Window Coverings,Garage,Off Street Parking,Short Term Lease",Zillow
21,650,Emsworth Arms,"8228 Ohio River Blvd, Pittsburgh, PA, 15202",15202,,,,,(412) 274-5437,https://photos.zillowstatic.com/fp/a7f50245bf9f5c6c2a0a0096752b8df0-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/emsworth-arms/5Xt45R/,40.511766,-80.098924,"Welcome to Emsworth Arms Apartments. These apartments are conveniently located close to Route 65, placing both downtown Pittsburgh and the Pittsburgh International Airport within easy reach. We provide our residents with storage, on-site maintenance, laundry facilities, parking and package receiving. Come see us at Emsworth Arms Apartments.",Off Street Parking,Zillow
22,725,Bellevue Mansions,"440 Jefferson Ave, Pittsburgh, PA, 15202",15202,,,,,(724) 213-3945,https://photos.zillowstatic.com/fp/d82e9c2ad5dbaabf308274d9a569c667-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/bellevue-mansions/5XxdDz/,40.493044,-80.055887,"Welcome to Bellevue Mansions, located in the heart of Bellevue!",,Zillow
23,749,2117 Brownsville Road,"2117 Brownsville Rd, Pittsburgh, PA, 15210",15210,,,,,(412) 991-2203,https://photos.zillowstatic.com/fp/10bfdb6066790713a8fd6b4eedcdf578-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/2117-brownsville-road/98NW3K/,40.392573,-79.985941,"2117 Brownsville Rd, Pittsburgh, PA 15210","Central Location,Close to Busline,Great Location,Great Natural Light,RangeOven,Spacious Layout,Walking Distance to Shops,Off Street Parking",Zillow
24,1532,The District,"1759 Waterfront Pl, Pittsburgh, PA, 15222",15222,,,,,(412) 413-9657,https://photos.zillowstatic.com/fp/78ce621b3c23a9966e201cf62fdddd77-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-district/BMh3kq/,40.450502,-79.98903,"1759 Waterfront Pl, Pittsburgh, PA 15222","Children's Play Room,Rooftop,Balcony,Granite Countertops,HardwoodFloor,High-End Appliances,Recreation Room",Zillow
25,1575,SCHENLEY APARTMENTS,"4101 Bigelow Blvd, Pittsburgh, PA, 15213",15213,,,,,(412) 547-9964,https://photos.zillowstatic.com/fp/502ad9128b4b14e86e6c17a267d407bd-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/schenley-apartments/98NmZZ/,40.450354,-79.954465,"Live, work, study, and play in the heart of the city Just blocks from the dynamic University of Pittsburgh campus! A truly unique historic property modernized to exceed your expectations. Take advantage of all of the fun and adventure in living within walking distance from one of the region's most vibrant college campuses. 1-3BR apartments available.","Fully-furnished outdoor resident decks,On-site parking,Bi-level units available",Zillow
26,1022,Helm on the Allegheny,"2239 Railroad St, Pittsburgh, PA, 15222",15222,,,,,(412) 615-3759,https://photos.zillowstatic.com/fp/ae8078b8c0c4810d2ad71dda3583e799-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/helm-on-the-allegheny/BLxMYg/,40.453842,-79.983612,"These modern waterfront apartments in Pittsburgh's Strip District offer multiple layouts and living styles. From traditional apartment units to affordable options and coliving neighborhoods, Helm on the Allegheny gives you the freedom to chart your course. What is co-living? Redefined urban living. Each neighborhood features an interconnected two-story structure with 16 apartment units that share a spectacular roof deck, a well-equipped chef's kitchen, a spacious dining area, a lively game room, and more.These spaces are designed to be both safe and sustainable, providing affordable living with Wi-Fi connectivity. Your evenings at Helm are filled with exciting choices will it be a neighborhood happy hour on the deck, a cooking demonstration, a night out in the Strip District, or a cozy 'neighbors' night in' with your favorite movie?","Availability 24 Hours,BBQ/Picnic Area,Concierge,Courtyard,Efficient Appliances,Electronic Thermostat,Free Weights,Green Building,Recycling,Reduced Rent Program,Transportation,Garage,Off Street Parking,Recreation Room,Short Term Lease",Zillow
27,1270,The Cascades Apartments and Townhomes,"100 E West Dr, Pittsburgh, PA, 15237",15237,,,,,(412) 453-7693,https://photos.zillowstatic.com/fp/613e2b3b7221cdc44ac825a8b40b6f6a-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/the-cascades-apartments-and-townhomes/5Xj98c/,40.506847,-80.021011,"The Cascades Apartments & Townhomes are north of Pittsburgh, PA, conveniently located near shopping, restaurants, entertainment, and downtown Pittsburgh. One and two-bedroom apartments for rent feature warm, spacious interiors, fully equipped kitchens, and plenty of closet space. This pet friendly, park-like rental community offers a sparkling pool with sundeck, fitness center, and on-site dog park. We're just minutes from Ross Park Mall and several parks, and both I-279 and McKnight Road are nearby.","Amazon Hub,Availability 24 Hours,Bike Share,Electric Vehicle Charging Stations,Outdoor Fitness,Pet Friendly,Private Entrance,Putting Green,Stainless Steel Appliances in Select Homes,Window Coverings,Balcony,Off Street Parking,Sundeck,Short Term Lease",Zillow
28,1995,"1115 Mary Ann St, Pittsburgh, PA 15203","1115 Mary Ann St, Pittsburgh, PA, 15203",15203,,,,,,https://photos.zillowstatic.com/fp/968d70d7757888daa7a6fb045d3a8b11-p_d.jpg,https://zillow.com/b/1115-mary-ann-st-pittsburgh-pa-98N6bM/,40.426294,-79.986874,"1115 Mary Ann St, Pittsburgh, PA 15203",,Zillow
29,1450,"2721 Cobden St, Pittsburgh, PA 15203","2721 Cobden St, Pittsburgh, PA, 15203",15203,,,,,,https://photos.zillowstatic.com/fp/63d6f234855ce6af7efdfdd5b74961f7-p_d.jpg,https://zillow.com/b/2721-cobden-st-pittsburgh-pa-98N7V6/,40.420029923018,-79.969795367041,"2721 Cobden St, Pittsburgh, PA 15203",,Zillow
30,1350,Robinson 205,"205 Robinson St, Pittsburgh, PA, 15213",15213,,,,,,https://photos.zillowstatic.com/fp/633a6add5eb7586981836dafc0cdb336-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/robinson-205/5jBs9X/,40.440615,-79.96591,"This first floor one bedroom, one bathroom unit is located in a concrete building. The unit features: hardwood floors, dishwasher, stove, built in microwave, new cabinets, ceiling fans, and plenty of closet space. We provide one window Ac unit. Tenants pay electric only, heat is electric. Landlord pays water, sewage and trash.","Parking,Pet friendly,Window Coverings",Zillow
31,1300,Melwood 340 - 1,"340 Melwood Ave, Pittsburgh, PA, 15213",15213,,,,,,https://photos.zillowstatic.com/fp/79f7c6451aeac2e1b9ad5fe2eb33e311-p_d.jpg,https://zillow.com/b/melwood-340-1-pittsburgh-pa-98Nm6c/,40.453446,-79.95119,"340 Melwood Ave, Pittsburgh, PA 15213","Kitchen island,Mirrors,Pet friendly,Window coverings,Walk-in Closet",Zillow
32,1300,4521 Butler Street - 4A,"4521 Butler St, Pittsburgh, PA, 15201",15201,,,,,,https://photos.zillowstatic.com/fp/500e3a4d764c7939bc31f25181ddfb92-p_d.jpg,https://zillow.com/b/4521-butler-street-4a-pittsburgh-pa-5g4VLh/,40.472836,-79.95905,"4521 Butler St, Pittsburgh, PA 15201",,Zillow
33,870,304 South Birmingham Avenue - 102,"304 S Birmingham Ave, Pittsburgh, PA, 15202",15202,,,,,,https://photos.zillowstatic.com/fp/0eadb45fad0f0e9715682b9601734279-p_d.jpg,https://zillow.com/b/304-south-birmingham-avenue-102-pittsburgh-pa-5YRmcR/,40.500886,-80.069425,"304 S Birmingham Ave, Pittsburgh, PA 15202",,Zillow
34,1395,"39 S Howard Ave, Pittsburgh, PA 15202","39 S Howard Ave, Pittsburgh, PA, 15202",15202,,,,,,https://photos.zillowstatic.com/fp/5adc4c721cb48b533185482949815c38-p_d.jpg,https://zillow.com/b/39-s-howard-ave-pittsburgh-pa-9PRCkF/,40.493626,-80.054459,"39 S Howard Ave, Pittsburgh, PA 15202",,Zillow
35,1499,732-734 S. Millvale Avenue,"732-734 S Millvale Ave, Pittsburgh, PA, 15213",15213,,,,,(412) 981-2844,https://photos.zillowstatic.com/fp/40e62f96f48d8aa9e46c4766c8e5ff1f-p_d.jpg,https://zillow.com/apartments/pittsburgh-pa/732-734-s.-millvale-avenue/Ch4N5L/,40.455832,-79.947976,"732-734 S Millvale Ave, Pittsburgh, PA 15213","Balcony,RangeOven,Utility fee of $80 includes:",Zillow
36,2650,"151 Fort Pitt Blvd, Pittsburgh, PA 15222","151 Fort Pitt Blvd, Pittsburgh, PA, 15222",15222,,,,,,https://photos.zillowstatic.com/fp/a5186d14eb7b0a6cdb915ef626303384-p_d.jpg,https://zillow.com/b/151-fort-pitt-blvd-pittsburgh-pa-5Xqv3s/,40.438689,-80.004671,"151 Fort Pitt Blvd, Pittsburgh, PA 15222",,Zillow
37,1495,"5819 Bartlett St, Pittsburgh, PA 15217","5819 Bartlett St, Pittsburgh, PA, 15217",15217,,,,,,https://photos.zillowstatic.com/fp/bff5154424572436c9b2f66caaddbb36-p_d.jpg,https://zillow.com/b/5819-bartlett-st-pittsburgh-pa-5fwkb6/,40.436334,-79.921917,"5819 Bartlett St, Pittsburgh, PA 15217",,Zillow
