Price,Location,Beds,Baths,Size,Units,Phone,Image_URL,Home_URL
"$1,799+/mo","The Cork Factory | 2349 Railroad St, Pittsburgh, PA 15222",1-2 bed,1-2 bath,"740-1,569",27 units available,(412) 944-2349,https://ssl.cdn-redfin.com/photo/rent/e93d3776-a37c-48a9-af38-52b64e25152b/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/The-Cork-Factory/apartment/189828927
"$2,550/mo","The Square On Butler | 3459 Butler St, Pittsburgh, PA 15201",2 beds,1.5-2 baths,—,3 units available,(724) 492-8335,https://ssl.cdn-redfin.com/photo/rent/57aa05f6-85d5-45b8-a645-eda4cdfa9731/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/The-Square-On-Butler/apartment/177404965
"$1,750+/mo","The Brix At 26 | 75 S 26th St, Pittsburgh, PA 15203",1 bed,1-1.5 bath,"662-1,186",27 units available,(724) 715-6718,https://ssl.cdn-redfin.com/photo/rent/082a90e8-a04a-4262-8c3e-47322699028e/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/The-Brix-At-26/apartment/177400270
Contact for Price,"Baum Boulevard Flats | 5722 Baum Blvd, Pittsburgh, PA 15206",0 beds,1 bath,—,Cats welcome,(412) 912-1022,https://ssl.cdn-redfin.com/photo/rent/f485ba44-a9ee-4e67-b3bf-ece0f81013fe/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/5722-Baum-Blvd-15206/home/182307309
"$1,550+/mo","Lot 24 | 2404 Railroad St, Pittsburgh, PA 15222",0-1 beds,1 bath,634-769,3 units available,(412) 815-0791,https://ssl.cdn-redfin.com/photo/rent/8cccf1a0-72f7-403e-a61f-31c92e50c695/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Lot-24/apartment/74562284
"$1,699+/mo","The Residences @ The Garden | 22 West North Ave, Pittsburgh, PA 15212",1-2 bed,1-2 bath,"635-1,078",4 units available,(412) 714-2653,https://ssl.cdn-redfin.com/photo/rent/8c40190c-9a4c-4748-ba29-a51d3536ece2/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/The-Residences-The-Garden/apartment/186851596
"$1,305+/mo","Hollendon Apartments | 1723 Wightman St, Pittsburgh, PA 15217",1-2 bed,1 bath,832,2 units available,(412) 871-4813,https://ssl.cdn-redfin.com/photo/rent/666bf544-558b-4783-86a0-6d86e2a32e4c/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Hollendon-Apartments/apartment/74751425
"$1,329+/mo","Allegheny Branch House Lofts | 810 W North Ave, Pittsburgh, PA 15233",0-2 beds,1-2 bath,"420-1,144",13 units available,(412) 714-2768,https://ssl.cdn-redfin.com/photo/rent/a2f41615-118b-4ca4-8df5-96220fd26b37/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Allegheny-Branch-House-Lofts/apartment/189506184
"$1,325+/mo","School House Apartments | 500 Tripoli St, Pittsburgh, PA 15212",0-2 beds,1-2.5 bath,"563-1,345",43 units available,(724) 307-5815,https://ssl.cdn-redfin.com/photo/rent/20336fb1-428b-430e-9822-ddd27bb22b6f/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/School-House-Apartments/apartment/74552418
"$1,405+/mo","Amberson Plaza Apartments | 5030 Centre Ave, Pittsburgh, PA 15213",1-2 bed,1 bath,680-720,25 units available,(412) 912-8165,https://ssl.cdn-redfin.com/photo/rent/e793f679-11c0-4b46-92eb-d010a109d12f/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Amberson-Plaza-Apartments/apartment/74661987
"$2,200+/mo","Portal Place Apartments | 2633 5th Ave, Pittsburgh, PA 15213",2 beds,2 baths,"1,100-1,200",6 units available,(412) 714-2324,https://ssl.cdn-redfin.com/photo/rent/9de35834-ef28-4f70-a1ae-cecf1d47616b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Portal-Place-Apartments/apartment/74571717
"$1,525+/mo","Royal Windsor | 222 Melwood Ave, Pittsburgh, PA 15213",2-5 beds,1-3 bath,"755-2,040",4 units available,(412) 814-1394,https://ssl.cdn-redfin.com/photo/rent/adbe946a-a262-4be4-881e-fc0eabaf541c/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Royal-Windsor/apartment/74567428
"$1,465/mo","Lofts at Terrain | 700 Mansfield Ave, Pittsburgh, PA 15205",2 beds,2 baths,762,5 units available,(724) 492-8939,https://ssl.cdn-redfin.com/photo/rent/9b6c40e0-16ed-4cf5-bc93-920d49217f72/islphoto/genIsl.0_13.jpg,https://www.redfin.com/PA/Pittsburgh/Lofts-at-Terrain/apartment/145077064
"$1,175+/mo","Thames Manor | 585 S Negley Ave, Pittsburgh, PA 15232",1 bed,1 bath,—,2 units available,(724) 715-3997,https://ssl.cdn-redfin.com/photo/rent/461363c5-a2cc-46e1-8f95-1d70b0b242db/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Thames-Manor/apartment/74745749
"$1,949+/mo","Aurora Manor Townhomes | 2207 Aurora Dr, Pittsburgh, PA 15237",2 beds,1.5 baths,"1,600",2 units available,(724) 715-6798,https://ssl.cdn-redfin.com/photo/rent/cceb5618-b4e1-4a42-a373-19a770fd9d4d/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Aurora-Manor-Townhomes/apartment/191481556
$950/mo,"Apartments on Academy | 50-60 Academy Ave, Pittsburgh, PA 15228",1 bed,1 bath,1,4 units available,(412) 815-1356,https://ssl.cdn-redfin.com/photo/rent/072ab40b-91f1-4cca-8119-3d5760ed3767/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Pittsburgh/Apartments-on-Academy/apartment/185040265
"$1,785/mo","The Brake House Lofts | 2501 Liberty Ave, Pittsburgh, PA 15222",1 bed,1 bath,—,4 units available,(724) 715-3990,https://ssl.cdn-redfin.com/photo/rent/b98d7012-e301-4d2e-b483-a4507c678a1e/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/The-Brake-House-Lofts/apartment/74562294
Contact for Price,"Plum Creek Acres | 501 Center New Texas Rd, Pittsburgh, PA 15239",1 bed,1 bath,—,1 unit available,(724) 307-8891,https://ssl.cdn-redfin.com/photo/rent/f2e3c07e-0499-4276-b836-0ba54f06c27b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Plum-Creek-Acres/apartment/186017376
"$1,500+/mo","The Reserve at Summerset | 1001 Parkview Blvd, Pittsburgh, PA 15217",1-3 bed,1-2.5 bath,"2,200-2,700",3 units available,(412) 815-1128,https://ssl.cdn-redfin.com/photo/rent/85cd8ba7-e2e6-4e0e-a052-127fd5477085/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/The-Reserve-at-Summerset/apartment/187437731
"$1,499/mo","Craig Manor | 325 N Craig St #329, Pittsburgh, PA 15213",2 beds,1 bath,750,1 unit available,(412) 500-0373,https://ssl.cdn-redfin.com/photo/rent/5aa5ec86-b086-4e10-aab5-5c9ba4d5ff64/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Craig-Manor/apartment/192619702
"$1,135+/mo","Carriage House | 1515 Penn Ave, Wilkinsburg, PA 15221",2 beds,1 bath,—,1 unit available,(412) 815-1180,https://ssl.cdn-redfin.com/photo/rent/6571b9c7-45c6-4fd8-8016-522c2ee8206a/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Wilkinsburg/Carriage-House/apartment/74545818
"$1,731+/mo","Maxon Towers | 6315 Forbes Ave, Pittsburgh, PA 15217",1-2 bed,1-2 bath,700-950,4 units available,(412) 714-2270,https://ssl.cdn-redfin.com/photo/rent/df55d365-7638-4c97-b178-88bca359308a/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Maxon-Towers/apartment/73534257
"$1,880+/mo","Bates Hill | 3812 Bates St, Pittsburgh, PA 15213",2 beds,1-2 bath,780,2 units available,(412) 912-7076,https://ssl.cdn-redfin.com/photo/rent/c02daaa9-d5e1-49b6-8303-bcdcfdecc9ba/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Bates-Hill/apartment/73525059
"$1,015+/mo","Bower Hill III Apartments | 1170 Bower Hill Rd, Pittsburgh, PA 15243",1-3 bed,1-2 bath,"557-1,444",5 units available,(412) 205-8628,https://ssl.cdn-redfin.com/photo/rent/a6850d09-aaa1-4d4d-b617-45b67bff8091/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Bower-Hill-III-Apartments/apartment/74496821
"$1,330/mo","Walnut Street Apartments | 5614 Walnut St, Pittsburgh, PA 15232",1 bed,1 bath,815,1 unit available,(412) 815-1396,https://ssl.cdn-redfin.com/photo/rent/50859585-6489-4fcd-bcef-ac1cf98c26d5/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Walnut-Street-Apartments/apartment/74748953
"$1,095+/mo","North Pointe Commons | 100 Park Plaza Dr, Pittsburgh, PA 15229",1-2 bed,1-1.5 bath,630-903,3 units available,(412) 871-9162,https://ssl.cdn-redfin.com/photo/rent/e4c3c4bc-0dab-45a0-a33c-cf2f91e052de/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/North-Pointe-Commons/apartment/177359985
$900+/mo,"Coronado Apartments | 5260 Centre Ave, Pittsburgh, PA 15232",0 beds,1 bath,433-664,3 units available,(724) 715-3966,https://ssl.cdn-redfin.com/photo/rent/77fc52bc-2059-41ed-b839-0f6dc5d969fc/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Coronado-Apartments/apartment/74662295
"$1,325+/mo","Brew House Lofts | 711 S 21st St, Pittsburgh, PA 15203",1-2 bed,1-2 bath,—,3 units available,(412) 912-8455,https://ssl.cdn-redfin.com/photo/rent/6edcafcf-eab8-4b50-938f-5aaa3106cf38/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Brew-House-Lofts/apartment/163671436
"$1,095+/mo","Greenbriar Village Apartments & Townhomes | 1701 Greenvalley Dr, Pittsburgh, PA 15220",1-3 bed,1-2.5 bath,"690-1,560",6 units available,(724) 307-5753,https://ssl.cdn-redfin.com/photo/rent/6249af67-00c4-4322-81fe-86d9f4fec3ab/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Greenbriar-Village-Apartments-Townhomes/apartment/177411072
$975+/mo,"Wellington One | 153 Schwitter Ave, Pittsburgh, PA 15229",1-2 bed,1 bath,—,4 units available,(412) 714-2355,https://ssl.cdn-redfin.com/photo/rent/7a741e07-928b-413a-8e60-ace561e51204/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Wellington-One/apartment/74593945
"$1,379+/mo","900 Penn Apartments | 900 Penn Ave, Pittsburgh, PA 15222",0-1 beds,1 bath,520-870,4 units available,(412) 912-8842,https://ssl.cdn-redfin.com/photo/rent/64270277-7a58-4b65-b2e5-d4ece7200284/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/900-Penn-Ave-15222/apartment/74773465
$850/mo,"Dawson House | 481 Dawson Ave, Pittsburgh, PA 15202",1 bed,1 bath,560,Pets welcome,(724) 307-8962,https://ssl.cdn-redfin.com/photo/rent/ba96d827-670f-4d5f-915c-19b7db52a54b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Dawson-House/apartment/74504672
$999+/mo,"Lebanon Vue | 400 Cochran Rd, Pittsburgh, PA 15228",1-2 bed,1 bath,640-735,12 units available,(412) 815-1348,https://ssl.cdn-redfin.com/photo/rent/d5054d04-fce1-40e9-ac8c-02a65dc594a8/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Lebanon-Vue/apartment/74494961
$995+/mo,"3200 Chestnut Ridge Dr, Pittsburgh, PA 15205",1-2 bed,1-2 bath,"600-1,100",10 units available,(724) 492-8445,https://ssl.cdn-redfin.com/photo/rent/a52b8167-2cd0-42cc-a9ee-27e73ac03c4e/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Pittsburgh/3200-Chestnut-Ridge-Dr-15205/apartment/177407313
$950/mo,"Canteberry Arms | 18 N Fremont Ave, Pittsburgh, PA 15202",1 bed,1 bath,—,Pets welcome,(412) 912-8949,https://ssl.cdn-redfin.com/photo/rent/a3e4f37c-250d-47bd-a4da-bc2ac7cd7c77/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Canteberry-Arms/apartment/74504998
"$1,999+/mo","Century Building | 130 7th St, Pittsburgh, PA 15222",2 beds,2 baths,"1,018",2 units available,(412) 912-8762,https://ssl.cdn-redfin.com/photo/rent/3c23ad83-07a2-42b6-b667-ac327b0a4c58/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Century-Building/apartment/177354551
$970+/mo,"Kings Arms Apartments | 800 S Negley Ave, Pittsburgh, PA 15232",0-2 beds,1 bath,388-662,3 units available,(412) 871-9330,https://ssl.cdn-redfin.com/photo/rent/993a563c-af72-4f7f-bc67-c0996f2c04b4/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Kings-Arms-Apartments/apartment/73510201
"$1,025+/mo","Kennilworth Apartments | 5700 Centre Ave, Pittsburgh, PA 15206",1 bed,1 bath,435-520,Laundry facility,(412) 419-1959,https://ssl.cdn-redfin.com/photo/rent/03be1d1d-1f99-41e7-85df-55eb1ba96fed/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Kennilworth-Apartments/apartment/177403029
"$1,200+/mo","5th Ave Apartments | 6215 5th Ave, Pittsburgh, PA 15232",1-2 bed,1 bath,—,5 units available,(878) 978-5864,https://ssl.cdn-redfin.com/photo/rent/1ca4c9a0-705f-4ca2-a563-25be53afc85d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/5th-Ave-Apartments/apartment/74746362
"$1,110+/mo","Negley Court | 5620 Fifth Ave, Pittsburgh, PA 15232",1-2 bed,1 bath,622-694,2 units available,(412) 318-5860,https://ssl.cdn-redfin.com/photo/rent/6c9fd241-dd8e-4b8e-8df7-115cb2941e38/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Negley-Court/apartment/189829235
"$1,700/mo","5435 Claybourne St, Pittsburgh, PA 15232",1 bed,1 bath,748,1 unit available,(724) 492-8765,https://ssl.cdn-redfin.com/photo/rent/c60d1199-9238-4013-b992-2c962704b92c/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/5435-Claybourne-St-15232/apartment/73505806
"$1,100+/mo","Greenhill | 4221 Winterburn Ave, Pittsburgh, PA 15207",1-2 bed,1 bath,638-778,1 unit available,(412) 912-7177,https://ssl.cdn-redfin.com/photo/rent/4e3ba2ac-1aa0-4344-9396-57cc6c7fdfe6/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Greenhill/apartment/73580253
"$1,395+/mo","Essex House | 5701 Centre Ave, Pittsburgh, PA 15206",1-2 bed,1-2 bath,"760-1,180",Laundry facility,(412) 871-9045,https://ssl.cdn-redfin.com/photo/rent/86dfe7af-602b-492c-a93c-80ab1a263984/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Essex-House/apartment/187455044
$900+/mo,"Walnut Place Apartments | 5425 Howe St, Pittsburgh, PA 15232",1-2 bed,1-2 bath,—,Laundry facility,(412) 815-0787,https://ssl.cdn-redfin.com/photo/rent/022d5a8a-c2d3-490c-97a6-360ef9abb56d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Walnut-Place-Apartments/apartment/74665000
"$1,400+/mo","The Revival on Carson | 1700 E Carson St, Pittsburgh, PA 15203",1-2 bed,1-2 bath,566-983,4 units available,(412) 550-0199,https://ssl.cdn-redfin.com/photo/rent/02d3131f-3dac-4b1b-9331-2cc5c14049ce/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/The-Revival-on-Carson/apartment/177358125
Contact for Price,"Forward Shady Apartment | 5841 Forward Ave, Pittsburgh, PA 15217",1 bed,1 bath,—,Laundry in unit,(412) 815-1267,https://ssl.cdn-redfin.com/photo/rent/cbef1e44-b107-4b30-9a50-1d3d73b2aee2/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Forward-Shady-Apartment/apartment/177358284
"$1,199+/mo","The Preserve at Heinz | 950 Progress St, Pittsburgh, PA 15212",1-2 bed,1-2 bath,720-956,20 units available,(412) 517-6983,https://ssl.cdn-redfin.com/photo/rent/82699dca-a7cf-4579-a18d-26400ecf96e4/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/The-Preserve-at-Heinz/apartment/145074857
$935/mo,"Velma Court | 772 Greenfield Ave, Pittsburgh, PA 15217",1 bed,1 bath,600,1 unit available,(412) 714-2096,https://ssl.cdn-redfin.com/photo/rent/289d6309-ba60-4c06-b338-2db7bfbb47f6/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Velma-Court/apartment/73554848
$800+/mo,"Alder Ridge | 114 Tally Dr, Pittsburgh, PA 15237",1-3 bed,1-2 bath,"600-1,115",Cats welcome,(724) 492-8787,https://ssl.cdn-redfin.com/photo/rent/bb0fac7b-8898-4d8e-925c-6fdb2e6f46fa/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Alder-Ridge/apartment/177388891
$884+/mo,"Waldorf Park Apartments | 103 McKnight Cir, Pittsburgh, PA 15237",1-2 bed,1-2 bath,"550-1,140",8 units available,(412) 815-0829,https://ssl.cdn-redfin.com/photo/rent/31e1f826-1c0d-4af3-a21f-01c139867488/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Waldorf-Park-Apartments/apartment/185569716
"$1,450/mo","Rossview Heights Townhomes | 112 Hilands Pl, Pittsburgh, PA 15237",3 beds,1 bath,"1,170",6 units available,(724) 492-8467,https://ssl.cdn-redfin.com/photo/rent/3a15b34b-e3af-44b4-97e3-314b0de9e0a2/islphoto/genIsl.0_13.jpg,https://www.redfin.com/PA/Pittsburgh/Rossview-Heights-Townhomes/apartment/177361190
$999+/mo,"Shadyside Apartments | 6005 Fifth Ave, Pittsburgh, PA 15206",0-1 beds,1 bath,520-692,10 units available,(724) 492-8996,https://ssl.cdn-redfin.com/photo/rent/7b653eb1-1b7a-4c55-985a-dc8094ec419c/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/Shadyside-Apartments/apartment/177354563
"$1,235+/mo","Flats on Fifth | 1655 5th Ave, Pittsburgh, PA 15219",1-2 bed,1-2 bath,"688-1,054",39 units available,(412) 912-8690,https://ssl.cdn-redfin.com/photo/rent/a0a10419-715f-43f0-bea8-22093bab164f/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Flats-on-Fifth/apartment/113693410
$905+/mo,"Mark Twain Apartments | 406 N Neville St, Pittsburgh, PA 15213",0-2 beds,1 bath,484-773,3 units available,(412) 752-9384,https://ssl.cdn-redfin.com/photo/rent/29865904-55eb-467a-8286-7fcca4318d9b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Mark-Twain-Apartments/apartment/74664458
$900+/mo,"Alcoma on the Green | 225 Alcoma Blvd, Penn Hills, PA 15235",1-3 bed,1-2 bath,"724-1,200",8 units available,(724) 260-6696,https://ssl.cdn-redfin.com/photo/rent/12a788ef-144e-42b1-92d3-ced3f603905b/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Penn-Hills/Alcoma-on-the-Green/apartment/179447061
$850+/mo,"Hoodridge Court | 452-484 Hoodridge Dr, Pittsburgh, PA 15234",1-2 bed,1 bath,547-815,1 unit available,(412) 815-1005,https://ssl.cdn-redfin.com/photo/rent/209beec4-e929-4080-afa5-8d595807eb2a/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Hoodridge-Court/apartment/184913378
$925/mo,"Place Sevile Apartments | 957 Bockstoce Ave, Pittsburgh, PA 15234",1 bed,1 bath,—,2 units available,(412) 815-1185,https://ssl.cdn-redfin.com/photo/rent/c7eaea53-afb0-4eae-b148-fcb7959a5020/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Place-Sevile-Apartments/apartment/74528802
